Channel,p_spike_1.0_count,p_spike_1.0_times,p_poly_1.0_count,p_poly_1.0_times,p_sw_1.0_count,p_sw_1.0_times
RM15-RM16,1,[6063.955],4,"[664.97, 1099.735, 4162.25, 5624.665]",101,"[322.23, 344.34, 466.535, 488.175, 490.67, 603.26, 650.355, 671.8, 692.38, 807.09, 863.3299999999999, 889.8050000000001, 951.755, 1035.68, 1088.865, 1162.725, 1179.88, 1182.87, 1209.6, 1246.75, 1259.21, 1344.885, 1368.54, 1418.59, 1444.49, 1548.21, 1552.94, 1569.155, 1589.99, 1708.945, 1818.97, 1862.92, 2141.195, 2271.54, 2279.355, 2287.27, 2424.355, 2742.395, 2904.68, 2927.32, 2986.915, 2991.12, 3013.33, 3027.44, 3045.1, 3068.725, 3081.715, 3120.32, 3122.93, 3136.095, 3147.615, 3153.195, 3233.32, 3245.835, 3247.895, 3344.85, 3376.37, 3446.645, 3466.23, 3559.09, 3601.8, 3936.785, 4055.865, 4060.74, 4065.46, 4076.79, 4139.765, 4160.06, 4209.94, 4215.935, 4304.605, 4332.035, 4681.76, 4692.855, 4702.14, 4703.975, 4709.425, 4759.825, 4787.115, 4881.6, 4915.885, 4917.46, 4958.015, 4999.27, 5022.355, 5025.83, 5122.37, 5286.38, 5358.08, 5386.43, 5415.825, 5445.885, 5451.105, 5464.705, 5504.475, 5508.115, 5734.66, 5815.13, 5973.675, 6166.86, 6176.19]"
RM16-RM17,0,[],0,[],7,"[938.45, 2050.72, 2141.195, 2771.415, 2819.485, 3018.92, 3027.385]"
RM2-RM3,26,"[3.485, 153.26, 253.92, 301.33, 461.055, 627.56, 1224.88, 1514.35, 1919.35, 1955.6, 1988.78, 2368.555, 2795.97, 2873.6, 3069.78, 3127.35, 3595.875, 4544.065, 5111.605, 5347.015, 5665.675, 5701.49, 5702.515, 5795.01, 6027.395, 6159.655]",19,"[578.05, 699.3199999999999, 892.5550000000001, 912.375, 1488.625, 1834.185, 2026.23, 2326.22, 2929.37, 2941.19, 3054.98, 3140.195, 3562.905, 4629.965, 5587.635, 5848.695, 5945.345, 6020.82, 6181.445]",168,"[23.155, 262.87, 285.485, 414.205, 467.13, 472.205, 514.245, 574.255, 619.225, 634.985, 657.95, 676.05, 695.41, 803.265, 885.62, 907.855, 1019.055, 1083.02, 1100.77, 1174.19, 1268.2, 1288.695, 1313.17, 1433.645, 1448.885, 1504.25, 1511.19, 1548.595, 1576.26, 1721.765, 1816.09, 1817.92, 1868.69, 1884.905, 1933.925, 1960.305, 2135.305, 2186.71, 2217.07, 2234.015, 2253.615, 2308.66, 2400.39, 2464.965, 2478.37, 2529.7, 2645.22, 2662.61, 2741.635, 2807.4, 2820.09, 2838.505, 2879.685, 2985.135, 2987.9, 2999.305, 3087.965, 3093.22, 3103.085, 3108.215, 3112.895, 3125.2, 3131.345, 3178.605, 3246.23, 3438.575, 3440.74, 3458.835, 3462.3, 3465.41, 3486.61, 3508.955, 3569.25, 3667.8, 3685.51, 3690.595, 3724.835, 3731.245, 3758.38, 3782.93, 3860.56, 3867.5, 4026.185, 4072.9, 4181.485, 4189.415, 4217.76, 4253.645, 4278.745, 4290.785, 4292.64, 4369.925, 4524.825, 4589.25, 4598.79, 4628.505, 4660.89, 4748.66, 4751.715, 4763.39, 4803.53, 4832.335, 4847.875, 4863.025, 4897.755, 4909.16, 4966.39, 5109.45, 5154.415, 5160.865, 5266.38, 5270.725, 5311.41, 5320.78, 5334.415, 5336.86, 5338.41, 5350.935, 5361.015, 5399.56, 5415.63, 5432.67, 5455.28, 5457.205, 5474.72, 5477.13, 5487.275, 5498.33, 5509.055, 5518.69, 5521.63, 5527.955, 5551.34, 5561.335, 5582.205, 5584.965, 5633.29, 5637.7, 5653.48, 5664.185, 5671.74, 5690.455, 5716.79, 5719.285, 5742.615, 5748.375, 5751.005, 5770.43, 5788.515, 5821.845, 5828.025, 5860.44, 5865.24, 5868.69, 5872.055, 5875.03, 5895.62, 5917.28, 5918.75, 5940.745, 5984.59, 6082.52, 6086.775, 6101.295, 6112.64, 6152.62, 6161.82, 6166.49]"
RM3-RM4,14,"[3.405, 50.815, 127.96, 546.63, 625.935, 2120.565, 2380.49, 2664.235, 3007.155, 3161.625, 3245.86, 3445.22, 4065.76, 5737.09]",6,"[471.235, 2288.005, 3500.85, 4947.54, 5403.86, 5955.035]",179,"[19.945, 31.32, 125.1, 147.625, 271.265, 416.325, 420.315, 456.855, 468.28, 477.235, 490.49, 493.97, 599.8050000000001, 610.1700000000001, 633.76, 707.065, 713.85, 1288.565, 1411.01, 1457.735, 1483.125, 1513.965, 1565.94, 1686.035, 1739.26, 1740.61, 1784.23, 1822.845, 1846.5, 1957.955, 1996.885, 2019.6, 2098.485, 2191.02, 2216.665, 2255.815, 2261.325, 2311.41, 2314.005, 2322.94, 2381.95, 2433.355, 2497.345, 2657.485, 2801.89, 2878.595, 2898.965, 2915.155, 2919.635, 2986.415, 2989.04, 3005.84, 3011.245, 3023.265, 3025.455, 3056.26, 3062.285, 3069.335, 3070.83, 3073.845, 3095.94, 3103.795, 3109.73, 3112.94, 3116.265, 3127.175, 3224.06, 3228.795, 3268.735, 3340.07, 3346.565, 3386.6, 3402.785, 3415.015, 3437.99, 3447.58, 3458.835, 3466.86, 3468.55, 3502.97, 3504.66, 3532.665, 3553.565, 3565.795, 3605.185, 3629.3, 3632.04, 3678.39, 3910.945, 3975.41, 3980.91, 3987.85, 3991.345, 4016.0, 4026.435, 4035.08, 4057.675, 4078.525, 4081.655, 4083.92, 4158.86, 4189.85, 4192.415, 4194.115, 4196.195, 4211.2, 4218.065, 4229.57, 4276.15, 4281.35, 4305.845, 4359.225, 4391.455, 4483.56, 4513.975, 4517.67, 4522.295, 4570.12, 4579.04990625, 4611.865, 4639.545, 4661.245, 4709.33, 4726.05, 4740.08, 4747.335, 4751.455, 4762.98, 4782.435, 4790.775, 4828.47, 4832.335, 4841.91, 4878.82, 5013.445, 5044.82, 5116.21, 5160.745, 5223.085, 5224.945, 5237.13, 5253.96, 5257.585, 5272.725, 5339.415, 5367.615, 5369.25, 5374.28, 5414.91, 5444.77, 5467.585, 5474.655, 5480.545, 5484.275, 5493.0, 5497.58, 5509.61, 5511.54, 5584.51, 5597.78, 5664.17, 5702.46, 5704.15, 5726.43, 5812.685, 5827.945, 5846.86, 5861.095, 5872.77, 5877.76, 5918.745, 5933.865, 6039.215, 6042.77, 6047.16, 6116.46, 6139.13, 6152.05, 6161.76]"
RM4-RM5,0,[],0,[],5,"[3425.26, 3964.44, 4094.215, 4806.435, 5511.09]"
RM5-RM6,2,"[2051.845, 2593.96]",0,[],10,"[400.61, 2031.8, 3565.775, 4513.965, 4926.76, 5351.135, 5664.15, 5728.035, 6011.07, 6082.38]"
RM6-RM7,1,[2040.82],1,[4522.285],19,"[400.56, 1247.52, 2451.89, 2568.355, 2684.19, 2748.32, 2754.72, 3521.455, 3565.06, 3627.77, 4057.535, 4926.755, 4981.075, 5498.45, 5727.845, 5750.475, 5850.63, 5924.63, 6011.205]"
RM7-RM8,1,[1548.47],2,"[4078.02, 5897.245]",13,"[1247.685, 1643.465, 2748.315, 2754.685, 3027.25, 3532.82, 5015.36, 5152.83, 5352.045, 5508.24, 5511.09, 5727.85, 5846.235]"
RM8-RM9,1,[2179.84],0,[],5,"[2031.81, 2742.415, 3049.845, 3601.835, 4926.765]"
RM9-RM10,1,[783.155],0,[],1,[533.91]
RO1-RO2,10,"[29.14, 40.9, 1653.435, 1904.41, 1951.215, 2087.47, 2133.17, 2275.125, 3344.935, 3483.57]",3,"[2801.11, 3221.92, 3844.77]",36,"[571.475, 967.24, 1385.99, 1939.115, 2145.185, 2190.77, 2253.865, 2289.2, 2480.23, 2556.33, 3050.01, 3113.615, 3167.84, 3270.145, 3278.3, 3427.805, 3645.03, 3661.405, 3696.25, 3758.0, 3797.73, 3814.44, 3960.705, 3991.54, 4106.195, 4140.305, 4145.375, 4199.825, 4313.85, 4593.72, 4746.56, 4978.895, 5025.265, 5355.825, 5367.725, 5968.095]"
RO2-RO3,22,"[110.715, 152.285, 320.8, 578.185, 696.46, 837.575, 1770.86, 1778.695, 2168.745, 2268.125, 2955.29, 2988.515, 3362.865, 4175.73, 4546.01, 4616.725, 5246.435, 5709.59, 5729.6, 5769.16, 6002.7, 6040.935]",10,"[230.74, 905.53, 1314.675, 1414.545, 3048.485, 3280.25, 3667.02, 5319.265, 5437.13, 5722.81]",149,"[7.985, 171.715, 173.25, 198.11, 259.97, 263.115, 277.85, 301.355, 511.815, 544.05, 622.13, 629.145, 669.985, 698.24, 869.4649999999999, 892.575, 934.34, 1125.505, 1130.705, 1132.815, 1145.04, 1147.61, 1202.35, 1316.11, 1388.54, 1443.06, 1445.205, 1512.69, 1515.745, 1525.0, 1548.985, 1693.525, 1757.525, 1777.465, 1888.6, 1909.115, 2011.84, 2026.67, 2029.785, 2039.28, 2074.16, 2086.785, 2099.28, 2138.34, 2163.835, 2199.87, 2286.335, 2289.21, 2300.585, 2303.88, 2312.33, 2400.89, 2419.48, 2511.645, 2524.125, 2573.005, 2586.475, 2611.925, 2673.065, 2702.365, 2764.785, 2775.11, 2798.89, 2821.095, 2842.88, 2864.135, 2880.085, 2895.895, 2904.72, 2925.89, 3003.76, 3013.13, 3014.88, 3019.98, 3051.9, 3090.255, 3122.005, 3188.86, 3213.75, 3239.505, 3283.135, 3294.2, 3346.815, 3365.395, 3396.39, 3501.775, 3522.47, 3594.65, 3690.49, 3719.305, 3745.3, 3793.715, 3806.945, 3813.99, 3871.925, 3937.785, 3938.955, 3954.37, 3966.525, 4003.915, 4039.7, 4072.87, 4152.49, 4185.96, 4252.81, 4263.025, 4265.335, 4362.82, 4375.74, 4422.095, 4447.425, 4448.745, 4474.285, 4526.69, 4549.58, 4554.37, 4559.0, 4605.15, 4607.865, 4628.58, 4641.555, 4711.845, 4720.765, 4760.62, 4775.68, 4802.965, 4860.5, 4899.43, 4945.83, 5027.21, 5048.575, 5051.435, 5270.875, 5294.035, 5321.735, 5357.98, 5453.18, 5474.895, 5486.735, 5511.52, 5606.11, 5648.21, 5773.395, 5787.05, 5815.665, 5902.46, 6039.22, 6121.565, 6128.815]"
RO5-RO6,2,"[1548.325, 2066.7]",0,[],6,"[2021.59, 2742.41, 2752.245, 3087.99, 3103.7, 4247.9]"
RO6-RO7,9,"[1693.12, 1852.04, 2031.815, 2298.26, 2451.945, 2491.235, 2599.045, 2742.4, 2772.485]",1,[2198.18],13,"[1873.0, 1976.465, 2024.165, 2051.945, 2066.7, 2147.93, 2453.01, 2553.01, 2644.395, 2752.24, 3545.56, 4712.105, 5903.29]"
RO7-RO8,6,"[6.755, 100.835, 151.405, 290.67, 2031.81, 2154.49]",1,[115.005],36,"[32.86, 37.64, 51.35, 156.0, 222.975, 361.46, 486.0, 488.75, 684.025, 752.735, 1112.59, 1363.715, 1714.905, 2599.04, 2742.39, 2898.97, 3027.275, 3297.23, 3601.865, 4035.675, 4120.89, 4140.945, 4615.07, 5375.37, 5464.675, 5547.885, 5586.9, 5589.22, 5750.51, 5826.925, 5841.685, 5894.245, 5973.63, 6011.115, 6063.91, 6114.465]"
RO8-RO9,6,"[2031.805, 4711.465, 5399.43, 5547.89, 5897.24, 5924.64]",0,[],22,"[1509.48, 2010.4, 2145.225, 2147.945, 2498.05, 3596.39, 3983.47, 4570.39, 4939.53, 5041.39, 5107.225, 5146.19, 5317.56, 5415.77, 5596.745, 5750.48, 5859.385, 5894.835, 5957.755, 6032.415, 6063.89, 6159.365]"
RO9-RO10,5,"[2491.245, 2497.975, 3103.275, 4970.43, 5014.675]",0,[],7,"[1247.585, 4203.795, 4926.77, 5019.195, 5036.995, 5511.14, 6011.12]"
RX1-RX2,5,"[187.6, 2365.795, 2764.295, 3002.825, 3200.51]",5,"[2282.165, 2371.93, 3167.855, 3544.91, 4362.175]",53,"[627.94, 1303.92, 1386.0, 1881.805, 1936.995, 2133.72, 2178.415, 2267.545, 2289.215, 2363.96, 2368.23, 2480.21, 2571.795, 2756.795, 2774.105, 2788.475, 2909.31, 2960.665, 3015.52, 3018.84, 3050.015, 3060.225, 3102.85, 3125.23, 3205.655, 3227.75, 3240.87, 3383.455, 3403.71, 3428.195, 3483.5, 3522.04, 3661.42, 3673.715, 3770.94, 3837.42, 3844.78, 3846.385, 3916.59, 3978.3, 4038.135, 4051.04, 4116.37, 4118.11, 4320.56, 4375.2, 4376.725, 4610.695, 4646.91, 4698.215, 4831.645, 5416.325, 5534.25]"
RX10-RX11,1,[4081.645],0,[],23,"[1548.35, 2368.0, 2498.055, 2609.345, 2955.575, 3025.455, 3062.065, 3107.985, 3109.61, 3125.055, 3525.035, 3815.675, 4066.74, 4077.925, 4763.18, 4939.54, 5253.75, 5389.89, 5498.44, 5508.7, 5597.455, 5727.77, 5925.36]"
RX11-RX12,6,"[3104.83, 3120.325, 3256.495, 3779.675, 5884.91, 5924.685]",4,"[1123.76, 2405.745, 2554.13, 4769.98]",113,"[187.345, 225.37, 506.55, 517.16, 789.3050000000001, 911.47, 915.31, 1057.49, 1100.595, 1108.21, 1486.415, 1529.45, 2138.19, 2166.975, 2248.355, 2367.985, 2411.535, 2491.38, 2497.96, 2559.45, 2609.345, 2618.17, 2676.92, 2684.115, 2745.24, 2756.085, 2822.25, 2916.75, 2965.535, 2999.455, 3025.46, 3027.31, 3088.03, 3090.32, 3107.99, 3109.605, 3125.055, 3136.775, 3137.92, 3161.265, 3224.415, 3238.64, 3257.795, 3268.755, 3279.64, 3376.255, 3525.035, 3579.06, 3612.26, 3637.01, 3807.19, 3816.245, 3860.075, 3988.39, 4016.44, 4052.2, 4053.365, 4066.74, 4069.08, 4074.835, 4076.795, 4078.43, 4120.125, 4139.255, 4140.97, 4148.715, 4300.18, 4505.515, 4621.925, 4711.515, 4722.22, 4848.36, 4851.355, 4878.835, 4881.86, 4939.56, 4970.695, 4995.915, 5017.73, 5110.63, 5133.54, 5141.69, 5152.725, 5253.75, 5317.595, 5351.52, 5389.895, 5415.79, 5466.835, 5478.44, 5498.83, 5508.695, 5549.465, 5550.57, 5597.465, 5727.775, 5729.965, 5788.465, 5790.32, 5809.16, 5810.595, 5820.415, 5837.06, 5868.725, 5871.02, 5874.31, 5888.305, 5894.15, 5897.28, 5988.11, 6010.955, 6160.065, 6184.085]"
RX12-RX13,2,"[3103.35, 5820.415]",0,[],27,"[1108.355, 1311.805, 2031.805, 2367.995, 2497.96, 2599.055, 3087.765, 3107.195, 3117.62, 3601.875, 4048.04, 4053.37, 4060.96, 4063.615, 4120.6, 4463.395, 4616.54, 4980.955, 5141.685, 5466.825, 5494.115, 5527.82, 5790.565, 5810.59, 5846.68, 5925.36, 6139.33]"
RX13-RX14,1,[3577.96],4,"[3601.71, 4763.185, 5389.895, 5860.27]",45,"[403.15, 1397.48, 1423.34, 1427.64, 1452.34, 1548.355, 1737.645, 2031.805, 2599.055, 3011.5, 3039.76, 3050.265, 3059.205, 3109.63, 3121.18, 3137.93, 3273.085, 3521.32, 3807.245, 3815.81, 3834.805, 3969.305, 4047.195, 4049.66, 4066.715, 4071.755, 4077.925, 4081.64, 4350.535, 4613.38, 4617.115, 5006.975, 5498.835, 5577.73, 5750.51, 5846.685, 5848.48, 5851.39, 5865.2, 5868.85, 5888.425, 5924.655, 5973.655, 6082.38, 6184.205]"
RX14-RX15,0,[],0,[],4,"[2565.935, 3025.445, 3815.685, 6123.375]"
RX2-RX3,0,[],1,[4714.82],2,"[2599.06, 2772.155]"
RX3-RX4,1,[1016.115],0,[],0,[]
RX4-RX5,4,"[70.86, 3049.995, 3087.995, 3124.925]",0,[],22,"[86.09, 1505.855, 2138.165, 2379.86, 2747.075, 3018.795, 3103.28, 3137.885, 3280.11, 3521.44, 4094.205, 4142.47, 4348.09, 4622.885, 4852.495, 4970.57, 5331.4, 5597.435, 5815.755, 5895.59, 5988.21, 6010.935]"
RX5-RX6,1,[649.035],1,[3971.77],9,"[20.255, 109.975, 156.065, 216.865, 405.52, 1726.04, 2684.175, 2776.27, 4616.685]"
RX6-RX7,0,[],1,[2411.55],2,"[3087.235, 4617.105]"
RX7-RX8,0,[],0,[],2,"[2411.55, 4094.2]"
RX8-RX9,1,[3120.39],1,[3027.36],36,"[1100.655, 2411.555, 2498.05, 2677.005, 2684.07, 2997.93, 3018.755, 3103.28, 3207.335, 3704.075, 3814.79, 3970.18, 4052.29, 4057.52, 4073.08, 4077.91, 4103.91, 4463.69, 4617.105, 4621.92, 4711.6, 4851.19, 4939.55, 4970.875, 5351.13, 5464.785, 5511.105, 5727.835, 5807.805, 5826.91, 5831.94, 5841.77, 5894.14, 6032.425, 6123.22, 6159.45]"
RX9-RX10,1,[4386.14],1,[2497.905],12,"[2424.195, 2493.365, 3120.39, 3814.865, 4103.835, 4939.535, 4970.88, 5511.165, 5710.235, 5824.045, 5831.795, 6183.455]"
